,guid,tm,router_mac,user_mac,signal,router_id
15,1952844b-cfa9-48f1-9ebb-f5dbf55941f6,2022-12-30 03:00:08.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
23,85e46b21-995c-41ae-b2af-284f70f30875,2022-12-30 03:00:01.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
35,31da1ea3-b5e2-4a2f-87f5-609c0018d399,2022-12-30 03:00:18.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-61.0,8a823f01-771f-420e-8971-928cba314a24
62,e095b733-3d05-414d-bebb-025fa76f723a,2022-12-30 03:00:30.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-58.0,8a823f01-771f-420e-8971-928cba314a24
70,02fc1e0a-909f-41b0-b752-df2ef9808caf,2022-12-30 03:00:21.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
96,6915456f-e0e0-4a19-a9a4-a4a7b1327941,2022-12-30 03:00:32.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
118,31b3e872-d64b-459c-bd8a-23700aecd783,2022-12-30 03:00:37.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-73.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
131,d26ae615-8379-4f33-b67b-26f86e08fbcc,2022-12-30 03:00:42.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-58.0,8a823f01-771f-420e-8971-928cba314a24
156,aaf3a20e-7dba-4f40-9e6e-cc04d97f2cc8,2022-12-30 03:01:02.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
167,701f0cbe-994c-4ed3-b896-2f5df1464bae,2022-12-30 03:00:53.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-58.0,8a823f01-771f-420e-8971-928cba314a24
181,3a50148b-570f-4b9a-b019-6b043ffbaf32,2022-12-30 03:00:59.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
217,6c2de910-5969-402f-9335-b05057c9ba40,2022-12-30 03:01:23.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
228,496a7e47-53c5-4943-925a-055e025e341c,2022-12-30 03:01:16.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-58.0,8a823f01-771f-420e-8971-928cba314a24
237,ed713f9a-2d6c-41fd-b558-18b8d1969d13,2022-12-30 03:01:11.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-74.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
242,3128829e-c1be-40fd-8f38-194b9ac63a7c,2022-12-30 03:00:27.000 +0300,CC:2D:E0:F3:8C:6E,E0:63:DA:DC:D8:49,-74.0,0b91ef8c-3b4f-4a39-b3a3-9683c6fd7832
277,a9676349-bac9-4ff0-854e-9580028f1472,2022-12-30 03:01:33.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-60.0,8a823f01-771f-420e-8971-928cba314a24
322,960f9953-9ed3-46a7-a87a-03b77e041afc,2022-12-30 03:01:41.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
340,85d025e8-0603-4262-8cac-817257129767,2022-12-30 03:01:47.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-72.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
375,4a15f0f5-3402-404f-8fd6-905c76d00093,2022-12-30 03:01:56.000 +0300,48:8F:5A:AE:A1:27,E0:63:DA:DC:D8:49,-73.0,a8c8525e-cfcf-416f-88dd-bf1efc79df00
389,0ca7e2c2-dfa4-4602-9722-66d2c62506cb,2022-12-30 03:02:08.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-59.0,8a823f01-771f-420e-8971-928cba314a24
395,bd943c98-5264-4f48-8bc2-9a9358002dff,2022-12-30 03:01:54.000 +0300,CC:2D:E0:82:B9:07,E0:63:DA:DC:D8:49,-58.0,8a823f01-771f-420e-8971-928cba314a24
